{'loss': 236.6181, 'learning_rate': 4.6666666666666665e-05, 'epoch': 0.2}
{'loss': 6.3212, 'learning_rate': 0.0006274074074074074, 'epoch': 5.8}
{'loss': 6.2314, 'learning_rate': 0.0006222222222222221, 'epoch': 6.0}
{'eval_loss': 6.175576686859131, 'eval_runtime': 5.9858, 'eval_samples_per_second': 8.019, 'eval_steps_per_second': 0.167, 'epoch': 6.0}
{'loss': 6.1961, 'learning_rate': 0.000617037037037037, 'epoch': 6.2}
{'loss': 6.1802, 'learning_rate': 0.0006118518518518519, 'epoch': 6.4}
{'loss': 6.3748, 'learning_rate': 0.0006066666666666667, 'epoch': 6.6}
{'loss': 6.3286, 'learning_rate': 0.0006014814814814815, 'epoch': 6.8}
{'loss': 6.2991, 'learning_rate': 0.0005962962962962963, 'epoch': 7.0}
{'loss': 6.2748, 'learning_rate': 0.0005911111111111112, 'epoch': 7.2}
{'loss': 6.2246, 'learning_rate': 0.0005859259259259259, 'epoch': 7.4}
{'loss': 6.2421, 'learning_rate': 0.0005807407407407407, 'epoch': 7.6}
{'loss': 6.2438, 'learning_rate': 0.0005755555555555555, 'epoch': 7.8}
{'loss': 6.1664, 'learning_rate': 0.0005703703703703703, 'epoch': 8.0}
{'eval_loss': 6.175745010375977, 'eval_runtime': 5.1915, 'eval_samples_per_second': 9.246, 'eval_steps_per_second': 0.193, 'epoch': 8.0}
{'loss': 6.1277, 'learning_rate': 0.0005651851851851852, 'epoch': 8.2}
{'loss': 6.1663, 'learning_rate': 0.0005600000000000001, 'epoch': 8.4}
{'loss': 6.1707, 'learning_rate': 0.0005548148148148148, 'epoch': 8.6}
{'loss': 6.2312, 'learning_rate': 0.0005496296296296296, 'epoch': 8.8}
{'loss': 6.2628, 'learning_rate': 0.0005444444444444444, 'epoch': 9.0}
{'loss': 6.1768, 'learning_rate': 0.0005392592592592593, 'epoch': 9.2}
{'loss': 6.2099, 'learning_rate': 0.0005340740740740741, 'epoch': 9.4}
{'loss': 6.1919, 'learning_rate': 0.0005288888888888889, 'epoch': 9.6}
{'loss': 6.1915, 'learning_rate': 0.0005237037037037036, 'epoch': 9.8}
{'loss': 6.2144, 'learning_rate': 0.0005185185185185185, 'epoch': 10.0}
{'eval_loss': 6.174797534942627, 'eval_runtime': 5.815, 'eval_samples_per_second': 8.254, 'eval_steps_per_second': 0.172, 'epoch': 10.0}
{'loss': 6.1924, 'learning_rate': 0.0005133333333333333, 'epoch': 10.2}
{'loss': 6.1867, 'learning_rate': 0.0005081481481481482, 'epoch': 10.4}
{'loss': 6.244, 'learning_rate': 0.000502962962962963, 'epoch': 10.6}
{'loss': 6.1873, 'learning_rate': 0.0004977777777777778, 'epoch': 10.8}
{'loss': 6.2253, 'learning_rate': 0.0004925925925925926, 'epoch': 11.0}
{'loss': 6.2388, 'learning_rate': 0.00048740740740740743, 'epoch': 11.2}
{'loss': 6.2273, 'learning_rate': 0.0004822222222222222, 'epoch': 11.4}
{'loss': 6.1589, 'learning_rate': 0.00047703703703703705, 'epoch': 11.6}
{'loss': 6.1585, 'learning_rate': 0.0004718518518518518, 'epoch': 11.8}
{'loss': 6.1848, 'learning_rate': 0.00046666666666666666, 'epoch': 12.0}
{'eval_loss': 6.176223278045654, 'eval_runtime': 7.0574, 'eval_samples_per_second': 6.801, 'eval_steps_per_second': 0.142, 'epoch': 12.0}
{'loss': 6.146, 'learning_rate': 0.00046148148148148144, 'epoch': 12.2}
{'loss': 6.1832, 'learning_rate': 0.00045629629629629633, 'epoch': 12.4}
{'loss': 6.1819, 'learning_rate': 0.0004511111111111111, 'epoch': 12.6}
{'loss': 6.1467, 'learning_rate': 0.00044592592592592595, 'epoch': 12.8}
{'loss': 6.2168, 'learning_rate': 0.00044074074074074073, 'epoch': 13.0}
{'loss': 6.1964, 'learning_rate': 0.00043555555555555557, 'epoch': 13.2}
{'loss': 6.1679, 'learning_rate': 0.00043037037037037035, 'epoch': 13.4}
{'loss': 6.2066, 'learning_rate': 0.0004251851851851852, 'epoch': 13.6}
{'loss': 6.208, 'learning_rate': 0.00041999999999999996, 'epoch': 13.8}
{'loss': 6.1583, 'learning_rate': 0.0004148148148148148, 'epoch': 14.0}
{'eval_loss': 6.190897464752197, 'eval_runtime': 5.8101, 'eval_samples_per_second': 8.262, 'eval_steps_per_second': 0.172, 'epoch': 14.0}
{'loss': 6.1379, 'learning_rate': 0.0004096296296296296, 'epoch': 14.2}
{'loss': 6.169, 'learning_rate': 0.0004044444444444444, 'epoch': 14.4}
{'loss': 6.1813, 'learning_rate': 0.0003992592592592593, 'epoch': 14.6}
{'loss': 6.1651, 'learning_rate': 0.0003940740740740741, 'epoch': 14.8}
{'loss': 6.1488, 'learning_rate': 0.0003888888888888889, 'epoch': 15.0}
{'loss': 6.0845, 'learning_rate': 0.0003837037037037037, 'epoch': 15.2}
{'loss': 6.1853, 'learning_rate': 0.00037851851851851854, 'epoch': 15.4}
{'loss': 6.1997, 'learning_rate': 0.0003733333333333333, 'epoch': 15.6}
{'loss': 6.1837, 'learning_rate': 0.00036814814814814815, 'epoch': 15.8}
{'loss': 6.1947, 'learning_rate': 0.00036296296296296294, 'epoch': 16.0}
{'eval_loss': 6.174807071685791, 'eval_runtime': 6.1777, 'eval_samples_per_second': 7.77, 'eval_steps_per_second': 0.162, 'epoch': 16.0}
{'loss': 6.1733, 'learning_rate': 0.00035777777777777777, 'epoch': 16.2}
{'loss': 6.1668, 'learning_rate': 0.00035259259259259255, 'epoch': 16.4}
{'loss': 6.1928, 'learning_rate': 0.0003474074074074074, 'epoch': 16.6}
{'loss': 6.2038, 'learning_rate': 0.0003422222222222222, 'epoch': 16.8}
{'loss': 6.1792, 'learning_rate': 0.000337037037037037, 'epoch': 17.0}
{'loss': 6.1243, 'learning_rate': 0.00033185185185185184, 'epoch': 17.2}
{'loss': 6.199, 'learning_rate': 0.0003266666666666667, 'epoch': 17.4}
{'loss': 6.1175, 'learning_rate': 0.00032148148148148146, 'epoch': 17.6}
{'loss': 6.1614, 'learning_rate': 0.0003162962962962963, 'epoch': 17.8}
{'loss': 6.1308, 'learning_rate': 0.00031111111111111107, 'epoch': 18.0}
{'eval_loss': 6.174922943115234, 'eval_runtime': 5.7689, 'eval_samples_per_second': 8.321, 'eval_steps_per_second': 0.173, 'epoch': 18.0}
{'loss': 6.1102, 'learning_rate': 0.00030592592592592596, 'epoch': 18.2}
{'loss': 6.1666, 'learning_rate': 0.00030074074074074074, 'epoch': 18.4}
{'loss': 6.1727, 'learning_rate': 0.0002955555555555556, 'epoch': 18.6}
{'loss': 6.1294, 'learning_rate': 0.00029037037037037036, 'epoch': 18.8}
{'loss': 6.1073, 'learning_rate': 0.00028518518518518514, 'epoch': 19.0}
{'loss': 6.1021, 'learning_rate': 0.00028000000000000003, 'epoch': 19.2}
{'loss': 6.1572, 'learning_rate': 0.0002748148148148148, 'epoch': 19.4}
{'loss': 6.1333, 'learning_rate': 0.00026962962962962965, 'epoch': 19.6}
{'loss': 6.1046, 'learning_rate': 0.00026444444444444443, 'epoch': 19.8}
{'loss': 6.1308, 'learning_rate': 0.00025925925925925926, 'epoch': 20.0}
{'eval_loss': 6.162252426147461, 'eval_runtime': 5.4781, 'eval_samples_per_second': 8.762, 'eval_steps_per_second': 0.183, 'epoch': 20.0}
{'loss': 6.102, 'learning_rate': 0.0002540740740740741, 'epoch': 20.2}
{'loss': 6.1019, 'learning_rate': 0.0002488888888888889, 'epoch': 20.4}
{'loss': 6.0983, 'learning_rate': 0.00024370370370370371, 'epoch': 20.6}
{'loss': 6.1111, 'learning_rate': 0.00023851851851851852, 'epoch': 20.8}
{'loss': 6.1304, 'learning_rate': 0.00023333333333333333, 'epoch': 21.0}
{'loss': 6.0458, 'learning_rate': 0.00022814814814814817, 'epoch': 21.2}
{'loss': 6.1027, 'learning_rate': 0.00022296296296296297, 'epoch': 21.4}
{'loss': 6.0848, 'learning_rate': 0.00021777777777777778, 'epoch': 21.6}
{'loss': 6.0638, 'learning_rate': 0.0002125925925925926, 'epoch': 21.8}
{'loss': 6.1246, 'learning_rate': 0.0002074074074074074, 'epoch': 22.0}
{'eval_loss': 6.147287368774414, 'eval_runtime': 6.5671, 'eval_samples_per_second': 7.309, 'eval_steps_per_second': 0.152, 'epoch': 22.0}
{'loss': 6.0959, 'learning_rate': 0.0002022222222222222, 'epoch': 22.2}
{'loss': 6.1416, 'learning_rate': 0.00019703703703703704, 'epoch': 22.4}
{'loss': 6.0956, 'learning_rate': 0.00019185185185185185, 'epoch': 22.6}
{'loss': 6.0403, 'learning_rate': 0.00018666666666666666, 'epoch': 22.8}
{'loss': 6.0196, 'learning_rate': 0.00018148148148148147, 'epoch': 23.0}
{'loss': 6.0187, 'learning_rate': 0.00017629629629629628, 'epoch': 23.2}
{'loss': 6.0543, 'learning_rate': 0.0001711111111111111, 'epoch': 23.4}
{'loss': 6.0541, 'learning_rate': 0.00016592592592592592, 'epoch': 23.6}
{'loss': 6.0258, 'learning_rate': 0.00016074074074074073, 'epoch': 23.8}
{'loss': 6.0625, 'learning_rate': 0.00015555555555555554, 'epoch': 24.0}
{'eval_loss': 6.168017864227295, 'eval_runtime': 5.5136, 'eval_samples_per_second': 8.706, 'eval_steps_per_second': 0.181, 'epoch': 24.0}
{'loss': 5.9915, 'learning_rate': 0.00015037037037037037, 'epoch': 24.2}
{'loss': 6.1009, 'learning_rate': 0.00014518518518518518, 'epoch': 24.4}
{'loss': 6.0285, 'learning_rate': 0.00014000000000000001, 'epoch': 24.6}
{'loss': 6.0468, 'learning_rate': 0.00013481481481481482, 'epoch': 24.8}
{'loss': 6.0415, 'learning_rate': 0.00012962962962962963, 'epoch': 25.0}
{'loss': 5.9998, 'learning_rate': 0.00012444444444444444, 'epoch': 25.2}
{'loss': 6.0846, 'learning_rate': 0.00011925925925925926, 'epoch': 25.4}
{'loss': 6.0308, 'learning_rate': 0.00011407407407407408, 'epoch': 25.6}
{'loss': 6.0925, 'learning_rate': 0.00010888888888888889, 'epoch': 25.8}
{'loss': 5.9767, 'learning_rate': 0.0001037037037037037, 'epoch': 26.0}
{'eval_loss': 6.202890396118164, 'eval_runtime': 5.4039, 'eval_samples_per_second': 8.882, 'eval_steps_per_second': 0.185, 'epoch': 26.0}
{'loss': 5.9485, 'learning_rate': 9.851851851851852e-05, 'epoch': 26.2}
{'loss': 6.0553, 'learning_rate': 9.333333333333333e-05, 'epoch': 26.4}
{'loss': 6.0424, 'learning_rate': 8.814814814814814e-05, 'epoch': 26.6}
{'loss': 6.0015, 'learning_rate': 8.296296296296296e-05, 'epoch': 26.8}
{'loss': 5.9957, 'learning_rate': 7.777777777777777e-05, 'epoch': 27.0}
{'loss': 5.9546, 'learning_rate': 7.259259259259259e-05, 'epoch': 27.2}
{'loss': 6.0713, 'learning_rate': 6.740740740740741e-05, 'epoch': 27.4}
{'loss': 5.9848, 'learning_rate': 6.222222222222222e-05, 'epoch': 27.6}
{'loss': 6.0066, 'learning_rate': 5.703703703703704e-05, 'epoch': 27.8}
{'loss': 5.9393, 'learning_rate': 5.185185185185185e-05, 'epoch': 28.0}
{'eval_loss': 6.270396709442139, 'eval_runtime': 5.9758, 'eval_samples_per_second': 8.032, 'eval_steps_per_second': 0.167, 'epoch': 28.0}
{'loss': 5.9686, 'learning_rate': 4.6666666666666665e-05, 'epoch': 28.2}
{'loss': 6.0438, 'learning_rate': 4.148148148148148e-05, 'epoch': 28.4}
{'loss': 5.9275, 'learning_rate': 3.6296296296296295e-05, 'epoch': 28.6}
{'loss': 6.0244, 'learning_rate': 3.111111111111111e-05, 'epoch': 28.8}
{'loss': 5.9048, 'learning_rate': 2.5925925925925925e-05, 'epoch': 29.0}
{'loss': 5.952, 'learning_rate': 2.074074074074074e-05, 'epoch': 29.2}
{'loss': 6.0404, 'learning_rate': 1.5555555555555555e-05, 'epoch': 29.4}
{'loss': 5.9724, 'learning_rate': 1.037037037037037e-05, 'epoch': 29.6}
{'loss': 5.968, 'learning_rate': 5.185185185185185e-06, 'epoch': 29.8}
{'loss': 5.9708, 'learning_rate': 0.0, 'epoch': 30.0}
{'eval_loss': 6.23846435546875, 'eval_runtime': 6.4214, 'eval_samples_per_second': 7.475, 'eval_steps_per_second': 0.156, 'epoch': 30.0}
{'train_runtime': 4148.1328, 'train_samples_per_second': 12.844, 'train_steps_per_second': 0.036, 'train_loss': 11.662444305419921, 'epoch': 30.0}
