epoch,hit@1,hit@10,hit@20,hit@50,mrr@1,mrr@10,mrr@20,mrr@50,ndcg@1,ndcg@10,ndcg@20,ndcg@50,precision@1,precision@10,precision@20,precision@50,recall@1,recall@10,recall@20,recall@50,train_loss,valid_score
54,0.0589,0.2965,0.4089,0.5745,0.0589,0.1198,0.1275,0.1329,0.0589,0.161,0.1893,0.2223,0.0589,0.0297,0.0204,0.0115,0.0589,0.2965,0.4089,0.5745,2445.0488,0.161
55,0.0624,0.2962,0.4109,0.577,0.0624,0.121,0.1288,0.1342,0.0624,0.1618,0.1906,0.2237,0.0624,0.0296,0.0205,0.0115,0.0624,0.2962,0.4109,0.577,2443.3697,0.1618
56,0.0594,0.2955,0.4136,0.5783,0.0594,0.1199,0.128,0.1333,0.0594,0.1608,0.1905,0.2234,0.0594,0.0296,0.0207,0.0116,0.0594,0.2955,0.4136,0.5783,2441.3221,0.1608
57,0.0631,0.2978,0.4139,0.5772,0.0631,0.1226,0.1305,0.1358,0.0631,0.1635,0.1926,0.2252,0.0631,0.0298,0.0207,0.0115,0.0631,0.2978,0.4139,0.5772,2439.3457,0.1635
58,0.0604,0.2949,0.4106,0.5767,0.0604,0.1199,0.1279,0.1333,0.0604,0.1607,0.1899,0.223,0.0604,0.0295,0.0205,0.0115,0.0604,0.2949,0.4106,0.5767,2438.2565,0.1607
59,0.0609,0.3015,0.4137,0.5801,0.0609,0.1216,0.1293,0.1347,0.0609,0.1635,0.1918,0.225,0.0609,0.0301,0.0207,0.0116,0.0609,0.3015,0.4137,0.5801,2436.4446,0.1635
60,0.0632,0.299,0.4118,0.5791,0.0632,0.122,0.1298,0.1352,0.0632,0.1633,0.1916,0.2251,0.0632,0.0299,0.0206,0.0116,0.0632,0.299,0.4118,0.5791,2434.8725,0.1633
61,0.0618,0.297,0.4126,0.5765,0.0618,0.1218,0.1297,0.1351,0.0618,0.1626,0.1918,0.2245,0.0618,0.0297,0.0206,0.0115,0.0618,0.297,0.4126,0.5765,2432.7191,0.1626
62,0.0644,0.2952,0.4134,0.5763,0.0644,0.1237,0.1319,0.1372,0.0644,0.1637,0.1935,0.2261,0.0644,0.0295,0.0207,0.0115,0.0644,0.2952,0.4134,0.5763,2431.61,0.1637
63,0.0631,0.2977,0.4166,0.5752,0.0631,0.1224,0.1306,0.1358,0.0631,0.1633,0.1933,0.2249,0.0631,0.0298,0.0208,0.0115,0.0631,0.2977,0.4166,0.5752,2429.8626,0.1633
64,0.0637,0.2995,0.4157,0.577,0.0637,0.1239,0.1319,0.1372,0.0637,0.1649,0.1942,0.2264,0.0637,0.03,0.0208,0.0115,0.0637,0.2995,0.4157,0.577,2428.7237,0.1649
65,0.0632,0.2975,0.4164,0.5836,0.0632,0.1226,0.1308,0.1362,0.0632,0.1634,0.1934,0.2266,0.0632,0.0298,0.0208,0.0117,0.0632,0.2975,0.4164,0.5836,2426.9419,0.1634
66,0.0609,0.2993,0.4162,0.5811,0.0609,0.1228,0.1309,0.1363,0.0609,0.1641,0.1935,0.2265,0.0609,0.0299,0.0208,0.0116,0.0609,0.2993,0.4162,0.5811,2425.6863,0.1641
67,0.0624,0.3023,0.4137,0.5791,0.0624,0.1237,0.1313,0.1366,0.0624,0.1653,0.1933,0.2264,0.0624,0.0302,0.0207,0.0116,0.0624,0.3023,0.4137,0.5791,2424.2383,0.1653
68,0.0623,0.2972,0.4156,0.5778,0.0623,0.123,0.1311,0.1364,0.0623,0.1637,0.1935,0.2259,0.0623,0.0297,0.0208,0.0116,0.0623,0.2972,0.4156,0.5778,2422.9558,0.1637
69,0.0621,0.3002,0.4161,0.579,0.0621,0.1233,0.1312,0.1365,0.0621,0.1646,0.1937,0.2262,0.0621,0.03,0.0208,0.0116,0.0621,0.3002,0.4161,0.579,2421.6641,0.1646
70,0.0644,0.302,0.4171,0.5798,0.0644,0.1242,0.1321,0.1374,0.0644,0.1656,0.1946,0.2271,0.0644,0.0302,0.0209,0.0116,0.0644,0.302,0.4171,0.5798,2419.7494,0.1656
71,0.0656,0.3,0.4175,0.5805,0.0656,0.125,0.133,0.1383,0.0656,0.1658,0.1954,0.2279,0.0656,0.03,0.0209,0.0116,0.0656,0.3,0.4175,0.5805,2418.7409,0.1658
72,0.0637,0.2993,0.4118,0.5781,0.0637,0.1234,0.1311,0.1366,0.0637,0.1644,0.1928,0.2261,0.0637,0.0299,0.0206,0.0116,0.0637,0.2993,0.4118,0.5781,2417.2611,0.1644
73,0.0618,0.2993,0.4187,0.5772,0.0618,0.1236,0.1317,0.1369,0.0618,0.1647,0.1946,0.2263,0.0618,0.0299,0.0209,0.0115,0.0618,0.2993,0.4187,0.5772,2415.6881,0.1647
74,0.0642,0.3025,0.4156,0.5793,0.0642,0.1251,0.1328,0.1382,0.0642,0.1664,0.1949,0.2276,0.0642,0.0302,0.0208,0.0116,0.0642,0.3025,0.4156,0.5793,2414.4084,0.1664
75,0.0671,0.303,0.4182,0.5806,0.0671,0.1264,0.1343,0.1396,0.0671,0.1675,0.1965,0.2289,0.0671,0.0303,0.0209,0.0116,0.0671,0.303,0.4182,0.5806,2413.5138,0.1675
76,0.0672,0.3005,0.42,0.5805,0.0672,0.1263,0.1345,0.1397,0.0672,0.1669,0.197,0.2291,0.0672,0.03,0.021,0.0116,0.0672,0.3005,0.42,0.5805,2412.292,0.1669
77,0.0684,0.3038,0.4195,0.5805,0.0684,0.1274,0.1353,0.1406,0.0684,0.1685,0.1976,0.2297,0.0684,0.0304,0.021,0.0116,0.0684,0.3038,0.4195,0.5805,2410.707,0.1685
78,0.0657,0.3008,0.4147,0.5796,0.0657,0.1261,0.134,0.1393,0.0657,0.1668,0.1956,0.2285,0.0657,0.0301,0.0207,0.0116,0.0657,0.3008,0.4147,0.5796,2409.867,0.1668
79,0.0644,0.3007,0.4194,0.582,0.0644,0.1256,0.1336,0.1389,0.0644,0.1665,0.1963,0.2287,0.0644,0.0301,0.021,0.0116,0.0644,0.3007,0.4194,0.582,2408.3142,0.1665
80,0.0669,0.3015,0.4182,0.5806,0.0669,0.1268,0.1348,0.1401,0.0669,0.1675,0.1969,0.2294,0.0669,0.0301,0.0209,0.0116,0.0669,0.3015,0.4182,0.5806,2407.5802,0.1675
81,0.0656,0.3018,0.421,0.5788,0.0656,0.1262,0.1344,0.1396,0.0656,0.1672,0.1972,0.2288,0.0656,0.0302,0.0211,0.0116,0.0656,0.3018,0.421,0.5788,2406.5468,0.1672
82,0.0641,0.302,0.4174,0.5801,0.0641,0.1251,0.1331,0.1384,0.0641,0.1664,0.1955,0.228,0.0641,0.0302,0.0209,0.0116,0.0641,0.302,0.4174,0.5801,2405.5466,0.1664
83,0.0659,0.2978,0.4194,0.5785,0.0659,0.1265,0.1348,0.14,0.0659,0.1665,0.1971,0.2289,0.0659,0.0298,0.021,0.0116,0.0659,0.2978,0.4194,0.5785,2404.0099,0.1665
84,0.0671,0.297,0.4167,0.5786,0.0671,0.1274,0.1356,0.1409,0.0671,0.167,0.1973,0.2296,0.0671,0.0297,0.0208,0.0116,0.0671,0.297,0.4167,0.5786,2402.6024,0.167
85,0.0664,0.3002,0.4227,0.5828,0.0664,0.1264,0.1347,0.1399,0.0664,0.167,0.1977,0.2296,0.0664,0.03,0.0211,0.0117,0.0664,0.3002,0.4227,0.5828,2401.6886,0.167
86,0.0667,0.3008,0.42,0.5795,0.0667,0.1262,0.1344,0.1397,0.0667,0.167,0.197,0.2289,0.0667,0.0301,0.021,0.0116,0.0667,0.3008,0.42,0.5795,2400.753,0.167
87,0.0695,0.299,0.4228,0.5801,0.0695,0.1292,0.1376,0.1427,0.0695,0.1689,0.2,0.2314,0.0695,0.0299,0.0211,0.0116,0.0695,0.299,0.4228,0.5801,2399.6776,0.1689
88,0.0666,0.3015,0.4194,0.5808,0.0666,0.1262,0.1343,0.1395,0.0666,0.167,0.1967,0.2289,0.0666,0.0301,0.021,0.0116,0.0666,0.3015,0.4194,0.5808,2398.4485,0.167
89,0.0637,0.3017,0.4194,0.5793,0.0637,0.1248,0.1329,0.1381,0.0637,0.166,0.1957,0.2277,0.0637,0.0302,0.021,0.0116,0.0637,0.3017,0.4194,0.5793,2397.3499,0.166
90,0.0669,0.2988,0.4224,0.5773,0.0669,0.1273,0.1358,0.1409,0.0669,0.1674,0.1985,0.2295,0.0669,0.0299,0.0211,0.0115,0.0669,0.2988,0.4224,0.5773,2396.3369,0.1674
91,0.0629,0.3008,0.4217,0.581,0.0629,0.1246,0.1328,0.1379,0.0629,0.1657,0.1961,0.2278,0.0629,0.0301,0.0211,0.0116,0.0629,0.3008,0.4217,0.581,2395.7696,0.1657
92,0.0669,0.302,0.4204,0.5795,0.0669,0.1272,0.1352,0.1404,0.0669,0.1679,0.1977,0.2295,0.0669,0.0302,0.021,0.0116,0.0669,0.302,0.4204,0.5795,2394.2999,0.1679
93,0.0675,0.3003,0.4195,0.5768,0.0675,0.1278,0.1359,0.141,0.0675,0.1681,0.198,0.2294,0.0675,0.03,0.021,0.0115,0.0675,0.3003,0.4195,0.5768,2393.6397,0.1681
94,0.0666,0.305,0.4219,0.5798,0.0666,0.1279,0.1358,0.141,0.0666,0.1692,0.1986,0.2302,0.0666,0.0305,0.0211,0.0116,0.0666,0.305,0.4219,0.5798,2392.3879,0.1692
95,0.069,0.305,0.4212,0.5818,0.069,0.1298,0.1377,0.143,0.069,0.1707,0.1999,0.232,0.069,0.0305,0.0211,0.0116,0.069,0.305,0.4212,0.5818,2391.4431,0.1707
96,0.0666,0.299,0.4195,0.581,0.0666,0.1265,0.1348,0.1401,0.0666,0.1668,0.1972,0.2294,0.0666,0.0299,0.021,0.0116,0.0666,0.299,0.4195,0.581,2390.9069,0.1668
97,0.0661,0.3028,0.4235,0.5813,0.0661,0.128,0.1362,0.1413,0.0661,0.1688,0.1992,0.2306,0.0661,0.0303,0.0212,0.0116,0.0661,0.3028,0.4235,0.5813,2389.9751,0.1688
98,0.0674,0.3,0.4222,0.5783,0.0674,0.1263,0.1347,0.1398,0.0674,0.1668,0.1976,0.2288,0.0674,0.03,0.0211,0.0116,0.0674,0.3,0.4222,0.5783,2388.9438,0.1668
99,0.0659,0.3018,0.4214,0.5785,0.0659,0.127,0.1352,0.1403,0.0659,0.1679,0.1979,0.2293,0.0659,0.0302,0.0211,0.0116,0.0659,0.3018,0.4214,0.5785,2387.8042,0.1679
100,0.0661,0.3031,0.4212,0.5783,0.0661,0.1275,0.1356,0.1407,0.0661,0.1686,0.1982,0.2296,0.0661,0.0303,0.0211,0.0116,0.0661,0.3031,0.4212,0.5783,2387.4275,0.1686
101,0.0651,0.3002,0.4195,0.5816,0.0651,0.1259,0.1341,0.1394,0.0651,0.1666,0.1967,0.2291,0.0651,0.03,0.021,0.0116,0.0651,0.3002,0.4195,0.5816,2386.2494,0.1666
102,0.0687,0.3041,0.419,0.579,0.0687,0.1285,0.1363,0.1416,0.0687,0.1694,0.1983,0.2304,0.0687,0.0304,0.021,0.0116,0.0687,0.3041,0.419,0.579,2385.3458,0.1694
103,0.068,0.3023,0.42,0.5783,0.068,0.1285,0.1366,0.1418,0.068,0.1691,0.1988,0.2304,0.068,0.0302,0.021,0.0116,0.068,0.3023,0.42,0.5783,2384.9595,0.1691
104,0.0672,0.3002,0.421,0.5772,0.0672,0.1283,0.1365,0.1416,0.0672,0.1685,0.1989,0.2301,0.0672,0.03,0.0211,0.0115,0.0672,0.3002,0.421,0.5772,2383.1177,0.1685
105,0.0712,0.303,0.4212,0.5796,0.0712,0.1314,0.1396,0.1447,0.0712,0.1715,0.2013,0.233,0.0712,0.0303,0.0211,0.0116,0.0712,0.303,0.4212,0.5796,2382.713,0.1715
106,0.0684,0.2993,0.4227,0.5733,0.0684,0.1279,0.1363,0.1412,0.0684,0.1679,0.199,0.229,0.0684,0.0299,0.0211,0.0115,0.0684,0.2993,0.4227,0.5733,2381.7102,0.1679
107,0.0692,0.304,0.4195,0.5778,0.0692,0.1294,0.1374,0.1426,0.0692,0.1702,0.1993,0.231,0.0692,0.0304,0.021,0.0116,0.0692,0.304,0.4195,0.5778,2380.681,0.1702
108,0.0687,0.3018,0.4233,0.5772,0.0687,0.1292,0.1375,0.1425,0.0687,0.1695,0.2001,0.2308,0.0687,0.0302,0.0212,0.0115,0.0687,0.3018,0.4233,0.5772,2380.0168,0.1695
109,0.0649,0.3043,0.4217,0.5762,0.0649,0.127,0.135,0.1401,0.0649,0.1684,0.1979,0.2288,0.0649,0.0304,0.0211,0.0115,0.0649,0.3043,0.4217,0.5762,2378.9139,0.1684
110,0.0689,0.3033,0.4232,0.5791,0.0689,0.1295,0.1378,0.1428,0.0689,0.1701,0.2003,0.2315,0.0689,0.0303,0.0212,0.0116,0.0689,0.3033,0.4232,0.5791,2378.6592,0.1701
111,0.0679,0.3066,0.4202,0.5755,0.0679,0.1286,0.1363,0.1413,0.0679,0.17,0.1985,0.2296,0.0679,0.0307,0.021,0.0115,0.0679,0.3066,0.4202,0.5755,2377.9035,0.17
112,0.0697,0.306,0.419,0.578,0.0697,0.1304,0.1381,0.1433,0.0697,0.1714,0.1999,0.2316,0.0697,0.0306,0.021,0.0116,0.0697,0.306,0.419,0.578,2376.8076,0.1714
113,0.0667,0.3025,0.422,0.5783,0.0667,0.1273,0.1355,0.1406,0.0667,0.1681,0.1983,0.2295,0.0667,0.0302,0.0211,0.0116,0.0667,0.3025,0.422,0.5783,2375.805,0.1681
114,0.0695,0.306,0.4217,0.5783,0.0695,0.1295,0.1375,0.1426,0.0695,0.1706,0.1998,0.231,0.0695,0.0306,0.0211,0.0116,0.0695,0.306,0.4217,0.5783,2375.0568,0.1706
115,0.0702,0.3055,0.4233,0.5775,0.0702,0.1303,0.1383,0.1434,0.0702,0.1712,0.2008,0.2315,0.0702,0.0305,0.0212,0.0115,0.0702,0.3055,0.4233,0.5775,2374.8556,0.1712
116,0.0699,0.3048,0.4219,0.5743,0.0699,0.1305,0.1384,0.1435,0.0699,0.1712,0.2006,0.2311,0.0699,0.0305,0.0211,0.0115,0.0699,0.3048,0.4219,0.5743,2373.6684,0.1712
117,0.0695,0.3056,0.4204,0.5772,0.0695,0.1295,0.1374,0.1425,0.0695,0.1706,0.1995,0.2308,0.0695,0.0306,0.021,0.0115,0.0695,0.3056,0.4204,0.5772,2373.0155,0.1706
118,0.069,0.3046,0.4252,0.5776,0.069,0.1299,0.1381,0.1431,0.069,0.1707,0.201,0.2314,0.069,0.0305,0.0213,0.0116,0.069,0.3046,0.4252,0.5776,2372.0379,0.1707
119,0.07,0.302,0.421,0.5786,0.07,0.13,0.1383,0.1434,0.07,0.1702,0.2003,0.2318,0.07,0.0302,0.0211,0.0116,0.07,0.302,0.421,0.5786,2371.6606,0.1702
120,0.0697,0.3036,0.4195,0.5796,0.0697,0.1303,0.1382,0.1434,0.0697,0.1708,0.2,0.2319,0.0697,0.0304,0.021,0.0116,0.0697,0.3036,0.4195,0.5796,2371.063,0.1708
121,0.0705,0.2997,0.4237,0.578,0.0705,0.1298,0.1383,0.1433,0.0705,0.1695,0.2007,0.2315,0.0705,0.03,0.0212,0.0116,0.0705,0.2997,0.4237,0.578,2370.2709,0.1695
122,0.0697,0.3025,0.4194,0.5785,0.0697,0.1296,0.1377,0.1429,0.0697,0.1699,0.1995,0.2313,0.0697,0.0302,0.021,0.0116,0.0697,0.3025,0.4194,0.5785,2369.6224,0.1699
123,0.0687,0.305,0.4202,0.5742,0.0687,0.1295,0.1374,0.1425,0.0687,0.1704,0.1995,0.2303,0.0687,0.0305,0.021,0.0115,0.0687,0.305,0.4202,0.5742,2368.7574,0.1704
